,name,date,pageviews
84,Encryption,201412,44165.0
85,Encryption,201501,48532.0
86,Encryption,201502,46057.0
87,Encryption,201503,52355.0
88,Encryption,201504,47677.0
89,Encryption,201505,45523.0
90,Encryption,201506,38733.0
91,Encryption,201507,41968.0
92,Encryption,201508,40273.0
93,Encryption,201509,50141.0
94,Encryption,201510,50312.0
95,Encryption,201511,59026.0
96,Encryption,201512,56496.0
97,Encryption,201601,50423.0
98,Encryption,201602,64457.0
99,Encryption,201603,68560.0
100,Encryption,201604,102244.0
101,Encryption,201605,66557.0
102,Encryption,201606,55539.0
103,Encryption,201607,45092.0
104,Encryption,201608,45626.0
105,Encryption,201609,48790.0
106,Encryption,201610,52150.0
107,Encryption,201611,58312.0
108,Encryption,201612,46070.0
109,Encryption,201701,47939.0
110,Encryption,201702,44626.0
111,Encryption,201703,53756.0
112,Encryption,201704,45807.0
113,Encryption,201705,49991.0
114,Encryption,201706,38816.0
115,Encryption,201707,39787.0
116,Encryption,201708,36516.0
117,Encryption,201709,36611.0
118,Encryption,201710,42774.0
119,Encryption,201711,47482.0
120,Encryption,201712,42314.0
121,Encryption,201801,45531.0
122,Encryption,201802,40901.0
123,Encryption,201803,45499.0
124,Encryption,201804,43517.0
125,Encryption,201805,44162.0
126,Encryption,201806,37161.0
0,PHP,200712,20952.0
1,PHP,200801,40116.0
2,PHP,200802,36645.0
3,PHP,200803,41026.0
4,PHP,200804,72292.0
5,PHP,200805,65692.0
6,PHP,200806,64491.0
7,PHP,200807,62024.0
8,PHP,200808,60579.0
9,PHP,200809,63308.0
10,PHP,200810,62992.0
11,PHP,200811,65550.0
12,PHP,200812,57765.0
13,PHP,200901,72492.0
14,PHP,200902,70918.0
15,PHP,200903,77249.0
16,PHP,200904,60013.0
17,PHP,200905,63896.0
18,PHP,200906,63152.0
19,PHP,200907,59019.0
20,PHP,200908,55044.0
21,PHP,200909,57656.0
22,PHP,200910,57390.0
23,PHP,200911,54387.0
24,PHP,200912,45267.0
25,PHP,201001,52896.0
26,PHP,201002,52073.0
27,PHP,201003,52440.0
28,PHP,201004,44098.0
29,PHP,201005,41426.0
30,PHP,201006,38616.0
31,PHP,201007,33649.0
32,PHP,201008,52960.0
33,PHP,201009,54469.0
34,PHP,201010,54688.0
35,PHP,201011,53375.0
36,PHP,201012,48487.0
37,PHP,201101,59661.0
38,PHP,201102,29200.0
39,PHP,201103,33572.0
40,PHP,201104,28516.0
41,PHP,201105,34920.0
42,PHP,201106,29166.0
43,PHP,201107,27685.0
44,PHP,201108,28084.0
45,PHP,201109,22061.0
46,PHP,201110,24675.0
47,PHP,201111,27961.0
48,PHP,201112,25476.0
49,PHP,201201,34433.0
50,PHP,201202,32278.0
51,PHP,201203,30587.0
52,PHP,201204,26520.0
53,PHP,201205,29796.0
54,PHP,201206,32008.0
55,PHP,201207,30892.0
56,PHP,201208,28694.0
57,PHP,201209,30807.0
58,PHP,201210,31829.0
59,PHP,201211,33463.0
60,PHP,201212,27965.0
61,PHP,201301,37606.0
62,PHP,201302,34195.0
63,PHP,201303,34815.0
64,PHP,201304,34896.0
65,PHP,201305,36391.0
66,PHP,201306,33582.0
67,PHP,201307,29072.0
68,PHP,201308,25979.0
69,PHP,201309,25821.0
70,PHP,201310,42625.0
71,PHP,201311,27287.0
72,PHP,201312,20892.0
73,PHP,201401,28154.0
74,PHP,201402,25190.0
75,PHP,201403,25861.0
76,PHP,201404,23502.0
77,PHP,201405,23573.0
78,PHP,201406,20288.0
79,PHP,201407,21068.0
80,PHP,201408,20674.0
81,PHP,201409,24216.0
82,PHP,201410,24424.0
83,PHP,201411,22287.0
84,PHP,201412,19165.0
85,PHP,201501,24853.0
86,PHP,201502,23423.0
87,PHP,201503,24165.0
88,PHP,201504,25531.0
89,PHP,201505,21327.0
90,PHP,201506,26381.0
91,PHP,201507,130172.0
92,PHP,201508,128001.0
93,PHP,201509,138294.0
94,PHP,201510,141142.0
95,PHP,201511,125221.0
96,PHP,201512,135827.0
97,PHP,201601,147012.0
98,PHP,201602,130339.0
99,PHP,201603,131962.0
100,PHP,201604,138290.0
101,PHP,201605,134445.0
102,PHP,201606,132555.0
103,PHP,201607,115869.0
104,PHP,201608,118666.0
105,PHP,201609,126661.0
106,PHP,201610,142604.0
107,PHP,201611,128681.0
108,PHP,201612,109204.0
109,PHP,201701,115399.0
110,PHP,201702,106810.0
111,PHP,201703,122757.0
112,PHP,201704,113883.0
113,PHP,201705,128884.0
114,PHP,201706,109823.0
115,PHP,201707,110054.0
116,PHP,201708,95604.0
117,PHP,201709,90630.0
118,PHP,201710,99012.0
119,PHP,201711,110675.0
120,PHP,201712,114989.0
121,PHP,201801,110448.0
122,PHP,201802,101111.0
123,PHP,201803,111196.0
124,PHP,201804,117618.0
125,PHP,201805,111251.0
126,PHP,201806,112426.0
0,Uniform_Resource_Name,200712,350.0
1,Uniform_Resource_Name,200801,911.0
2,Uniform_Resource_Name,200802,791.0
3,Uniform_Resource_Name,200803,1004.0
4,Uniform_Resource_Name,200804,1150.0
5,Uniform_Resource_Name,200805,995.0
6,Uniform_Resource_Name,200806,1167.0
7,Uniform_Resource_Name,200807,1230.0
8,Uniform_Resource_Name,200808,1058.0
9,Uniform_Resource_Name,200809,1042.0
10,Uniform_Resource_Name,200810,1171.0
11,Uniform_Resource_Name,200811,1424.0
12,Uniform_Resource_Name,200812,1786.0
13,Uniform_Resource_Name,200901,1660.0
14,Uniform_Resource_Name,200902,1290.0
15,Uniform_Resource_Name,200903,1361.0
16,Uniform_Resource_Name,200904,1269.0
17,Uniform_Resource_Name,200905,1261.0
18,Uniform_Resource_Name,200906,1217.0
19,Uniform_Resource_Name,200907,1435.0
20,Uniform_Resource_Name,200908,1188.0
21,Uniform_Resource_Name,200909,1149.0
22,Uniform_Resource_Name,200910,1329.0
23,Uniform_Resource_Name,200911,1497.0
24,Uniform_Resource_Name,200912,1169.0
25,Uniform_Resource_Name,201001,1469.0
26,Uniform_Resource_Name,201002,1402.0
27,Uniform_Resource_Name,201003,1368.0
28,Uniform_Resource_Name,201004,1234.0
29,Uniform_Resource_Name,201005,1089.0
30,Uniform_Resource_Name,201006,1016.0
31,Uniform_Resource_Name,201007,1086.0
32,Uniform_Resource_Name,201008,1375.0
33,Uniform_Resource_Name,201009,1546.0
34,Uniform_Resource_Name,201010,1544.0
35,Uniform_Resource_Name,201011,1526.0
36,Uniform_Resource_Name,201012,1456.0
37,Uniform_Resource_Name,201101,1720.0
38,Uniform_Resource_Name,201102,1327.0
39,Uniform_Resource_Name,201103,1425.0
40,Uniform_Resource_Name,201104,1110.0
41,Uniform_Resource_Name,201105,1266.0
42,Uniform_Resource_Name,201106,1157.0
43,Uniform_Resource_Name,201107,1231.0
44,Uniform_Resource_Name,201108,1055.0
45,Uniform_Resource_Name,201109,882.0
46,Uniform_Resource_Name,201110,1098.0
47,Uniform_Resource_Name,201111,1282.0
48,Uniform_Resource_Name,201112,969.0
49,Uniform_Resource_Name,201201,1525.0
50,Uniform_Resource_Name,201202,1665.0
51,Uniform_Resource_Name,201203,1585.0
52,Uniform_Resource_Name,201204,1081.0
53,Uniform_Resource_Name,201205,1203.0
54,Uniform_Resource_Name,201206,1175.0
55,Uniform_Resource_Name,201207,1275.0
56,Uniform_Resource_Name,201208,1239.0
57,Uniform_Resource_Name,201209,1299.0
58,Uniform_Resource_Name,201210,1472.0
59,Uniform_Resource_Name,201211,1579.0
60,Uniform_Resource_Name,201212,1471.0
61,Uniform_Resource_Name,201301,2071.0
62,Uniform_Resource_Name,201302,1978.0
63,Uniform_Resource_Name,201303,1602.0
64,Uniform_Resource_Name,201304,1516.0
65,Uniform_Resource_Name,201305,1376.0
66,Uniform_Resource_Name,201306,1710.0
67,Uniform_Resource_Name,201307,1544.0
68,Uniform_Resource_Name,201308,1334.0
69,Uniform_Resource_Name,201309,1186.0
70,Uniform_Resource_Name,201310,1285.0
71,Uniform_Resource_Name,201311,1564.0
72,Uniform_Resource_Name,201312,1245.0
73,Uniform_Resource_Name,201401,1448.0
74,Uniform_Resource_Name,201402,1484.0
75,Uniform_Resource_Name,201403,1736.0
76,Uniform_Resource_Name,201404,1318.0
77,Uniform_Resource_Name,201405,1395.0
78,Uniform_Resource_Name,201406,1375.0
79,Uniform_Resource_Name,201407,1610.0
80,Uniform_Resource_Name,201408,1288.0
81,Uniform_Resource_Name,201409,1365.0
82,Uniform_Resource_Name,201410,1412.0
83,Uniform_Resource_Name,201411,1559.0
84,Uniform_Resource_Name,201412,1381.0
85,Uniform_Resource_Name,201501,1712.0
86,Uniform_Resource_Name,201502,1708.0
87,Uniform_Resource_Name,201503,1686.0
88,Uniform_Resource_Name,201504,1572.0
89,Uniform_Resource_Name,201505,1528.0
90,Uniform_Resource_Name,201506,1720.0
91,Uniform_Resource_Name,201507,2345.0
92,Uniform_Resource_Name,201508,1914.0
93,Uniform_Resource_Name,201509,5581.0
94,Uniform_Resource_Name,201510,7058.0
