date,hits,keyword,geo,gprop,category
2006-10-01,43,Ad hoc network,world,web,0
2006-11-01,46,Ad hoc network,world,web,0
2006-12-01,52,Ad hoc network,world,web,0
2007-01-01,48,Ad hoc network,world,web,0
2007-02-01,46,Ad hoc network,world,web,0
2007-03-01,46,Ad hoc network,world,web,0
2007-04-01,37,Ad hoc network,world,web,0
2007-05-01,40,Ad hoc network,world,web,0
2007-06-01,36,Ad hoc network,world,web,0
2007-07-01,42,Ad hoc network,world,web,0
2007-08-01,38,Ad hoc network,world,web,0
2007-09-01,43,Ad hoc network,world,web,0
2007-10-01,46,Ad hoc network,world,web,0
2007-11-01,44,Ad hoc network,world,web,0
2007-12-01,41,Ad hoc network,world,web,0
2008-01-01,51,Ad hoc network,world,web,0
2008-02-01,38,Ad hoc network,world,web,0
2008-03-01,40,Ad hoc network,world,web,0
2008-04-01,38,Ad hoc network,world,web,0
2008-05-01,40,Ad hoc network,world,web,0
2008-06-01,35,Ad hoc network,world,web,0
2008-07-01,37,Ad hoc network,world,web,0
2008-08-01,40,Ad hoc network,world,web,0
2008-09-01,40,Ad hoc network,world,web,0
2008-10-01,48,Ad hoc network,world,web,0
2008-11-01,50,Ad hoc network,world,web,0
2008-12-01,51,Ad hoc network,world,web,0
2009-01-01,35,Ad hoc network,world,web,0
2009-02-01,47,Ad hoc network,world,web,0
2009-03-01,45,Ad hoc network,world,web,0
2009-04-01,47,Ad hoc network,world,web,0
2009-05-01,48,Ad hoc network,world,web,0
2009-06-01,37,Ad hoc network,world,web,0
2009-07-01,45,Ad hoc network,world,web,0
2009-08-01,48,Ad hoc network,world,web,0
2009-09-01,45,Ad hoc network,world,web,0
2009-10-01,42,Ad hoc network,world,web,0
2009-11-01,46,Ad hoc network,world,web,0
2009-12-01,54,Ad hoc network,world,web,0
2010-01-01,52,Ad hoc network,world,web,0
2010-02-01,49,Ad hoc network,world,web,0
2010-03-01,46,Ad hoc network,world,web,0
2010-04-01,55,Ad hoc network,world,web,0
2010-05-01,48,Ad hoc network,world,web,0
2010-06-01,41,Ad hoc network,world,web,0
2010-07-01,43,Ad hoc network,world,web,0
2010-08-01,48,Ad hoc network,world,web,0
2010-09-01,47,Ad hoc network,world,web,0
2010-10-01,47,Ad hoc network,world,web,0
2010-11-01,43,Ad hoc network,world,web,0
2010-12-01,50,Ad hoc network,world,web,0
2011-01-01,46,Ad hoc network,world,web,0
2011-02-01,45,Ad hoc network,world,web,0
2011-03-01,50,Ad hoc network,world,web,0
2011-04-01,51,Ad hoc network,world,web,0
2011-05-01,40,Ad hoc network,world,web,0
2011-06-01,38,Ad hoc network,world,web,0
2011-07-01,43,Ad hoc network,world,web,0
2011-08-01,42,Ad hoc network,world,web,0
2011-09-01,41,Ad hoc network,world,web,0
2011-10-01,39,Ad hoc network,world,web,0
2011-11-01,37,Ad hoc network,world,web,0
2011-12-01,44,Ad hoc network,world,web,0
2012-01-01,51,Ad hoc network,world,web,0
2012-02-01,42,Ad hoc network,world,web,0
2012-03-01,47,Ad hoc network,world,web,0
2012-04-01,44,Ad hoc network,world,web,0
2012-05-01,42,Ad hoc network,world,web,0
2012-06-01,39,Ad hoc network,world,web,0
2012-07-01,46,Ad hoc network,world,web,0
2012-08-01,42,Ad hoc network,world,web,0
2012-09-01,46,Ad hoc network,world,web,0
2012-10-01,39,Ad hoc network,world,web,0
2012-11-01,41,Ad hoc network,world,web,0
